Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly) 
 01/04  01:00:00,-8.375,-4.136419162064068 
 01/04  02:00:00,-9.25,-4.318390170101267 
 01/04  03:00:00,-9.375,-4.57036310480466 
 01/04  04:00:00,-9.625,-4.603350378314687 
 01/04  05:00:00,-8.75,-4.674055506683047 
 01/04  06:00:00,-9.0,-4.758746284486442 
 01/04  07:00:00,-10.475,-4.972921213974309 
 01/04  08:00:00,-9.125,-5.094714149887204 
 01/04  09:00:00,-5.5,-4.87023540836068 
 01/04  10:00:00,-2.125,-3.8738248212897514 
 01/04  11:00:00,-0.375,-3.2292547492648815 
 01/04  12:00:00,0.625,-3.3988131885196415 
 01/04  13:00:00,1.625,-3.2802397366398639 
 01/04  14:00:00,2.625,-1.8454324227232629 
 01/04  15:00:00,3.625,-1.1529448392544009 
 01/04  16:00:00,2.75,-1.0802940415205984 
 01/04  17:00:00,1.375,-1.5159553007300575 
 01/04  18:00:00,1.0,-2.2466136893398218 
 01/04  19:00:00,1.0,-2.460842492552127 
 01/04  20:00:00,-0.25,-2.62891718412258 
 01/04  21:00:00,-1.0,-2.729817761218622 
 01/04  22:00:00,0.875,-2.603053807591005 
 01/04  23:00:00,2.0,-2.4057700087412519 
 01/04  24:00:00,2.0,-2.322246877508929 
 01/05  01:00:00,2.625,-2.2625810221271824 
 01/05  02:00:00,3.0,-2.168147279960958 
 01/05  03:00:00,3.625,-2.091724500528892 
 01/05  04:00:00,4.625,-1.885798541179724 
 01/05  05:00:00,4.375,-1.7125109067387923 
 01/05  06:00:00,2.75,-1.7238473105610342 
 01/05  07:00:00,2.0,-1.826191536040476 
 01/05  08:00:00,2.625,-1.866107040934488 
 01/05  09:00:00,3.625,-1.6561103617988118 
 01/05  10:00:00,5.1875,-1.2614863888413893 
 01/05  11:00:00,6.5875,-0.09911645605365133 
 01/05  12:00:00,7.0,0.7809512314764877 
 01/05  13:00:00,7.0,1.0695983156017786 
 01/05  14:00:00,7.625,1.1976216328259102 
 01/05  15:00:00,8.0,1.5016563904294047 
 01/05  16:00:00,7.375,1.7768071406354587 
 01/05  17:00:00,6.375,1.5632273759606455 
 01/05  18:00:00,4.75,0.9891666315067369 
 01/05  19:00:00,3.375,0.6491896421360192 
 01/05  20:00:00,2.375,0.31457928695954509 
 01/05  21:00:00,3.25,0.2997034907666185 
 01/05  22:00:00,0.875,0.3683403141505999 
 01/05  23:00:00,0.25,0.23157658664706252 
 01/05  24:00:00,1.0,0.23237726263534426 
 01/06  01:00:00,1.625,0.22980657454034088 
 01/06  02:00:00,2.625,0.24537337990776615 
 01/06  03:00:00,4.875,0.3509278059905566 
 01/06  04:00:00,4.75,0.612830837744555 
 01/06  05:00:00,0.875,0.4894594497204167 
 01/06  06:00:00,2.125,0.2771610943607695 
 01/06  07:00:00,3.375,0.40390713276083609 
 01/06  08:00:00,1.75,0.3990184117957226 
 01/06  09:00:00,4.125,0.9409373974872235 
 01/06  10:00:00,7.875,2.347089463717779 
 01/06  11:00:00,9.625,3.512473877991488 
 01/06  12:00:00,10.625,4.369766728365747 
 01/06  13:00:00,11.625,4.863781497131742 
 01/06  14:00:00,12.0,5.189338554197487 
 01/06  15:00:00,12.0,5.25989934268258 
 01/06  16:00:00,11.375,5.649428221075421 
 01/06  17:00:00,6.625,5.288764650495323 
 01/06  18:00:00,2.125,4.264839524930001 
 01/06  19:00:00,-0.25,3.60408647664078 
 01/06  20:00:00,-2.25,3.243161881089521 
 01/06  21:00:00,-3.0,2.9427282429989476 
 01/06  22:00:00,-3.0,2.862446048385205 
 01/06  23:00:00,-3.625,2.7267262862213696 
 01/06  24:00:00,-4.0,2.5286316171641669 
 01/07  01:00:00,-4.0,2.3173192914274196 
 01/07  02:00:00,-4.625,2.127800781763719 
 01/07  03:00:00,-4.375,1.9416152951056685 
 01/07  04:00:00,-2.125,1.909666270171663 
 01/07  05:00:00,-1.0,1.9351934469840205 
 01/07  06:00:00,0.25,1.9373417163810692 
 01/07  07:00:00,2.25,2.015660512661185 
 01/07  08:00:00,1.75,2.160453804220457 
 01/07  09:00:00,1.625,2.851541171539576 
 01/07  10:00:00,5.125,3.961279436432644 
 01/07  11:00:00,8.875,5.417476738525722 
 01/07  12:00:00,11.25,6.171341581763821 
 01/07  13:00:00,12.625,6.398494836232869 
 01/07  14:00:00,13.0,6.992373124000337 
 01/07  15:00:00,13.0,7.217899225612431 
 01/07  16:00:00,9.25,7.087625729384804 
 01/07  17:00:00,5.125,6.457146356650093 
 01/07  18:00:00,2.75,5.666203965537839 
 01/07  19:00:00,0.125,5.064289585921506 
 01/07  20:00:00,-1.625,4.701666363510929 
 01/07  21:00:00,-1.375,4.515913541862294 
 01/07  22:00:00,-1.0,4.396350516706358 
 01/07  23:00:00,-1.0,4.242753693632247 
 01/07  24:00:00,-1.625,4.085937873927005 
 01/08  01:00:00,-1.375,3.955067740976946 
 01/08  02:00:00,-1.625,3.853552635416767 
 01/08  03:00:00,-1.375,3.697791599616284 
 01/08  04:00:00,-1.0,3.616158495051785 
 01/08  05:00:00,-1.625,3.485078367576735 
 01/08  06:00:00,-2.0,3.3078848360754247 
 01/08  07:00:00,-2.0,3.1767973676755147 
 01/08  08:00:00,-2.0,3.201056068841452 
 01/08  09:00:00,-2.625,3.833068544834446 
 01/08  10:00:00,-2.375,3.925896366367752 
 01/08  11:00:00,-2.0,3.575848655234198 
 01/08  12:00:00,-2.0,3.4897134355300056 
 01/08  13:00:00,-1.375,3.6515578904882739 
 01/08  14:00:00,0.25,4.173644598326954 
 01/08  15:00:00,1.0,5.089999378713054 
 01/08  16:00:00,0.375,5.388098541820486 
 01/08  17:00:00,-1.875,4.715028728480306 
 01/08  18:00:00,-4.25,3.8449475241843298 
 01/08  19:00:00,-5.625,3.200517491205278 
 01/08  20:00:00,-6.0,2.891762045591294 
 01/08  21:00:00,-6.0,2.641749889038886 
 01/08  22:00:00,-4.75,2.487681175517397 
 01/08  23:00:00,-4.625,2.423484048151554 
 01/08  24:00:00,-4.375,2.22939183771554 
 01/09  01:00:00,-5.25,2.054469171388543 
 01/09  02:00:00,-4.125,1.842840404158114 
 01/09  03:00:00,-2.375,1.8447917974777455 
 01/09  04:00:00,-2.0,1.7556853068814902 
 01/09  05:00:00,-2.0,1.6297475386150833 
 01/09  06:00:00,-3.25,1.4481716783228845 
 01/09  07:00:00,-5.25,1.1045431114281903 
 01/09  08:00:00,-4.125,1.091998155739402 
 01/09  09:00:00,-0.5,2.6264725895956939 
 01/09  10:00:00,2.875,3.897240555282294 
 01/09  11:00:00,5.25,4.701193567324532 
 01/09  12:00:00,7.25,5.0405560451851729 
 01/09  13:00:00,8.0,5.2706344767973569 
 01/09  14:00:00,8.0,5.515917872181898 
 01/09  15:00:00,8.625,5.7202406282655009 
 01/09  16:00:00,7.75,5.906571984404044 
 01/09  17:00:00,4.5,5.466348562389438 
 01/09  18:00:00,2.375,4.52328181808838 
 01/09  19:00:00,1.4375,4.021116393580345 
