Date/Time,PLENUM:Zone Air Temperature [C](TimeStep),SOUTH PERIMETER:Zone Air Temperature [C](TimeStep),EAST PERIMETER:Zone Air Temperature [C](TimeStep),NORTH PERIMETER:Zone Air Temperature [C](TimeStep),WEST PERIMETER:Zone Air Temperature [C](TimeStep),CORE:Zone Air Temperature [C](TimeStep) 
 01/21  07:00:00,9.02645397789191,15.548053756828646,15.399589145472993,15.529358513078114,15.399589145472972,17.36987298685439 
 01/21  07:15:00,9.026453977521534,15.548053756746383,15.399589145388513,15.529358512995469,15.39958914538849,17.36987298677072 
 01/21  07:30:00,9.026453977162929,15.548053756666736,15.399589145306742,15.529358512915435,15.399589145306724,17.36987298668971 
 01/21  07:45:00,9.02645397681572,15.548053756589598,15.399589145227568,15.529358512837938,15.399589145227548,17.36987298661127 
 01/21  08:00:00,9.026453976479552,15.54805375651491,15.399589145150936,15.529358512762908,15.399589145150913,17.369872986535325 
 01/21  08:15:00,9.026453976154059,15.548053756442599,15.399589145076697,15.529358512690262,15.399589145076673,17.369872986461794 
 01/21  08:30:00,9.026453975838918,15.548053756372607,15.399589145004802,15.529358512619938,15.399589145004788,17.3698729863906 
 01/21  08:45:00,9.026453975533788,15.548053756304844,15.399589144935224,15.529358512551829,15.399589144935217,17.369872986321668 
 01/21  09:00:00,9.02645397523836,15.548053756239219,15.399589144867866,15.529358512485887,15.399589144867859,17.36987298625493 
 01/21  09:15:00,9.026453974952317,15.548053756175659,15.399589144802626,15.52935851242204,15.399589144802619,17.369872986190307 
 01/21  09:30:00,9.026453974675365,15.548053756114129,15.399589144739469,15.529358512360235,15.39958914473946,17.36987298612774 
 01/21  09:45:00,9.026453974407217,15.54805375605456,15.399589144678302,15.529358512300372,15.399589144678299,17.369872986067166 
 01/21  10:00:00,9.02645397414759,15.548053755996922,15.399589144619103,15.529358512242439,15.3995891446191,17.369872986008518 
 01/21  10:15:00,9.026453973896217,15.548053755941103,15.399589144561804,15.529358512186314,15.3995891445618,17.369872985951728 
 01/21  10:30:00,9.02645397365283,15.548053755887052,15.399589144506296,15.529358512131989,15.399589144506289,17.369872985896746 
 01/21  10:45:00,9.026453973417182,15.548053755834698,15.399589144452533,15.52935851207943,15.399589144452524,17.36987298584351 
 01/21  11:00:00,9.026453973189023,15.548053755784027,15.399589144400505,15.529358512028523,15.399589144400498,17.369872985791969 
 01/21  11:15:00,9.026453972968115,15.548053755734962,15.39958914435012,15.529358511979215,15.399589144350117,17.369872985742057 
 01/21  11:30:00,9.02645397275423,15.54805375568746,15.399589144301311,15.529358511931474,15.39958914430131,17.36987298569374 
